Date,Region,EnglishRegion,MinTemp,MaxTemp,AvgTemp
2026-04-28,北部地區,Northern,20.0,31.0,25.5
2026-04-29,北部地區,Northern,21.0,29.0,25.0
2026-04-30,北部地區,Northern,19.0,22.0,20.5
2026-05-01,北部地區,Northern,19.0,26.0,22.5
2026-05-02,北部地區,Northern,20.0,29.0,24.5
2026-05-03,北部地區,Northern,22.0,31.0,26.5
2026-05-04,北部地區,Northern,23.0,30.0,26.5
2026-04-28,中部地區,Central,21.0,33.0,27.0
2026-04-29,中部地區,Central,22.0,32.0,27.0
2026-04-30,中部地區,Central,20.0,26.0,23.0
2026-05-01,中部地區,Central,20.0,29.0,24.5
2026-05-02,中部地區,Central,22.0,31.0,26.5
2026-05-03,中部地區,Central,22.0,32.0,27.0
2026-05-04,中部地區,Central,23.0,31.0,27.0
2026-04-28,南部地區,Southern,23.0,33.0,28.0
2026-04-29,南部地區,Southern,24.0,32.0,28.0
2026-04-30,南部地區,Southern,22.0,30.0,26.0
2026-05-01,南部地區,Southern,22.0,31.0,26.5
2026-05-02,南部地區,Southern,23.0,32.0,27.5
2026-05-03,南部地區,Southern,24.0,32.0,28.0
2026-05-04,南部地區,Southern,25.0,33.0,29.0
2026-04-28,東北部地區,Northeastern,21.0,28.0,24.5
2026-04-29,東北部地區,Northeastern,22.0,28.0,25.0
2026-04-30,東北部地區,Northeastern,20.0,22.0,21.0
2026-05-01,東北部地區,Northeastern,19.0,24.0,21.5
2026-05-02,東北部地區,Northeastern,20.0,29.0,24.5
2026-05-03,東北部地區,Northeastern,22.0,30.0,26.0
2026-05-04,東北部地區,Northeastern,23.0,29.0,26.0
2026-04-28,東部地區,Eastern,22.0,28.0,25.0
2026-04-29,東部地區,Eastern,22.0,29.0,25.5
2026-04-30,東部地區,Eastern,21.0,24.0,22.5
2026-05-01,東部地區,Eastern,21.0,24.0,22.5
2026-05-02,東部地區,Eastern,21.0,27.0,24.0
2026-05-03,東部地區,Eastern,23.0,29.0,26.0
2026-05-04,東部地區,Eastern,24.0,29.0,26.5
2026-04-28,東南部地區,Southeastern,23.0,29.0,26.0
2026-04-29,東南部地區,Southeastern,23.0,31.0,27.0
2026-04-30,東南部地區,Southeastern,23.0,27.0,25.0
2026-05-01,東南部地區,Southeastern,22.0,27.0,24.5
2026-05-02,東南部地區,Southeastern,22.0,29.0,25.5
2026-05-03,東南部地區,Southeastern,23.0,32.0,27.5
2026-05-04,東南部地區,Southeastern,24.0,30.0,27.0
